Offencecategory,Offencetype,Violation,Gender,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total Other Criminal Code violations,Total other other violations,Willful and forbidden acts in respect of certain property (Part XI Criminal Code),Male,0,4,3,1,5,3,0,0,0,1,0
Total Other Criminal Code violations,Total other other violations,"Attempts, conspiracies, accessories (Part XIII Criminal Code)",Male,0,0,0,0,2,0,1,0,0,0,0
Total Other Criminal Code violations,Total other other violations,All other Criminal Code (includes Part XII.1 Criminal Code),Male,1,1,0,0,0,1,0,1,1,1,0
Violent Criminal Code Violation,Homicide,Manslaughter,Female,1,0,0,0,0,0,0,0,0,0,1
Violent Criminal Code Violation,Attempted murder,Attempted murder,Female,0,0,1,0,0,1,0,0,0,0,0
Violent Criminal Code Violation,Sexual assault,"Sexual assault, level 3, aggravated",Female,0,0,0,0,0,1,1,0,0,0,0
Violent Criminal Code Violation,Sexual assault,"Sexual assault, level 1",Female,1,4,2,2,3,2,2,4,1,3,5
Violent Criminal Code Violation,Total sexual violations against children,Sexual interference,Female,1,1,0,1,1,1,0,2,4,1,3
Violent Criminal Code Violation,Total sexual violations against children,Invitation to sexual touching,Female,0,1,0,0,1,1,1,1,0,0,0
Violent Criminal Code Violation,Assault,"Assault, level 3, aggravated",Female,9,4,5,8,2,3,2,4,5,2,3
Violent Criminal Code Violation,Assault,"Assault, level 2, weapon or bodily harm",Female,88,92,67,83,70,52,48,55,39,51,51
Violent Criminal Code Violation,Assault,"Assault, level 1",Female,314,279,265,217,190,187,134,160,157,151,160
Violent Criminal Code Violation,Total assaults against a peace officer,Total assaults against a peace officer,Female,25,35,45,38,34,32,18,35,19,22,20
Violent Criminal Code Violation,Total other Assault,Unlawfully causing bodily harm,Female,0,0,0,0,0,1,0,0,0,0,0
Violent Criminal Code Violation,Total other Assault,Criminal negligence causing bodily harm,Female,0,0,0,0,0,0,1,1,0,0,1
Violent Criminal Code Violation,Total other Assault,Other assaults,Female,3,3,1,2,0,0,0,0,1,0,0
Violent Criminal Code Violation,Total firearms,Pointing a firearm,Female,0,1,0,0,0,0,1,0,1,0,0
Violent Criminal Code Violation,Total robbery,Robbery,Female,66,68,41,41,29,29,28,18,21,18,22
Violent Criminal Code Violation,Total forcible confinement or kidnapping,Kidnapping,Female,0,0,0,0,2,0,0,0,0,0,0
Violent Criminal Code Violation,Total forcible confinement or kidnapping,Forcible confinement,Female,0,0,1,3,0,1,1,0,0,0,1
Violent Criminal Code Violation,Extortion,Extortion,Female,0,1,1,0,0,3,2,0,0,0,0
Violent Criminal Code Violation,Criminal harassment,Criminal harassment,Female,3,3,9,2,10,4,1,3,2,3,1
Violent Criminal Code Violation,Uttering threats,Uttering threats,Female,42,29,55,41,26,25,22,35,16,31,15
Violent Criminal Code Violation,Indecent/Harassing communications,Indecent/Harassing communications,Female,2,3,0,0,0,1,0,0,2,0,0
